iter	Logloss
0	0.6603545751
1	0.6353585133
2	0.6109455291
3	0.5930444563
4	0.5781819251
5	0.5650142449
6	0.5518998203
7	0.5419845959
8	0.5330401159
9	0.5253504638
10	0.5184929474
11	0.512709968
12	0.5072434232
13	0.5023108368
14	0.498165605
15	0.4929456863
16	0.4886027543
17	0.4852750241
18	0.4813101176
19	0.47867377
20	0.4755347195
21	0.4733682865
22	0.4711418861
23	0.4690574751
24	0.4666731756
25	0.4653649075
26	0.4633954536
27	0.4617976138
28	0.4603987147
29	0.4589517594
30	0.457057997
31	0.4557503761
32	0.454503006
33	0.4531241836
34	0.4519879446
35	0.4507921584
36	0.4496289117
37	0.4482407005
38	0.4473836799
39	0.4463896227
40	0.4454205127
41	0.4447022966
42	0.4437661422
43	0.4429037393
44	0.442130431
45	0.4413363126
46	0.4404731584
47	0.4396574385
48	0.438972146
49	0.438178489
50	0.4370418454
51	0.4362717942
52	0.4353065617
53	0.4344750602
54	0.4335171056
55	0.4329025523
56	0.4320414837
57	0.4310636018
58	0.4304198204
59	0.429673966
60	0.4287034127
61	0.4280497621
62	0.4274085742
63	0.4267046654
64	0.4259961813
65	0.425336209
66	0.4245309381
67	0.4239593045
68	0.4234361788
69	0.4229260807
70	0.4223518163
71	0.4218725636
72	0.4210378113
73	0.4203938891
74	0.419994354
75	0.4195985573
76	0.4189871213
77	0.4183540669
78	0.4176079959
79	0.4170745946
80	0.4165880083
81	0.4160203057
82	0.4153389727
83	0.4147359922
84	0.4143495964
85	0.4135758619
86	0.4131101577
87	0.412398292
88	0.4120504825
89	0.4115545402
90	0.4108453936
91	0.4104595548
92	0.4099050217
93	0.4094600513
94	0.4090832818
95	0.4087627857
96	0.4083281347
97	0.4078188911
98	0.4072429867
99	0.4067371024
100	0.406329357
101	0.4059230833
102	0.4053162001
103	0.404606689
104	0.4039483139
105	0.4032599892
106	0.4028094438
107	0.4021998036
108	0.4016694901
109	0.4011149448
110	0.4004379478
111	0.3999029284
112	0.3992218073
113	0.3986808008
114	0.39810248
115	0.3976625267
116	0.3972522047
117	0.3965616791
118	0.3957836554
119	0.3953892269
120	0.394852078
121	0.3940649937
122	0.3931950848
123	0.3925564909
124	0.3918383773
125	0.3913019916
126	0.3907877504
127	0.3898894163
128	0.3891511963
129	0.3887101715
130	0.3879652489
131	0.3872124101
132	0.3866427654
133	0.3861000591
134	0.3855807097
135	0.3850283069
136	0.3843375563
137	0.3838307342
138	0.3833095139
139	0.3827116819
140	0.3821666834
141	0.3814881419
142	0.3807313596
143	0.3801126567
144	0.3793598898
145	0.3787931539
146	0.378135106
147	0.3775064581
148	0.3768210589
149	0.3761438551
150	0.3756111286
151	0.3750147973
152	0.3744749504
153	0.3739771921
154	0.3734949053
155	0.3728376136
156	0.3723908588
157	0.3717470515
158	0.3711904141
159	0.3706084935
160	0.3699926248
161	0.3692340496
162	0.3687175173
163	0.3681139367
164	0.3675041841
165	0.3669036504
166	0.3664230586
167	0.3658898273
168	0.3654005942
169	0.3648995735
170	0.3640681034
171	0.3634654824
172	0.3628182289
173	0.3621693527
174	0.3616248087
175	0.3611828861
176	0.3605845187
177	0.3600608171
178	0.3595441743
179	0.3589286168
180	0.3584460373
181	0.3580946464
182	0.357655341
183	0.3570474219
184	0.3564627294
185	0.3560299111
186	0.3554202322
187	0.3546839914
188	0.3541304455
189	0.3536189063
190	0.3531045111
191	0.3525411275
192	0.3521607189
193	0.3517420342
194	0.3511938741
195	0.3505129077
196	0.3500273991
197	0.3495630833
198	0.3491810898
199	0.3485340065
200	0.3480098207
201	0.3474072458
202	0.3469892586
203	0.3466673281
204	0.3460490423
205	0.3456249315
206	0.3451468828
207	0.3447669189
208	0.3442116012
209	0.3436703901
210	0.3431416324
211	0.3427911829
212	0.3424209867
213	0.3419998852
214	0.3416541851
215	0.3409954963
216	0.3405728714
217	0.340200549
218	0.3397122704
219	0.3391038687
220	0.3386057807
221	0.3382407804
222	0.3376337886
223	0.3371689021
224	0.3366844971
225	0.3362613976
226	0.3356080676
227	0.335137427
228	0.3347651461
229	0.3343890843
230	0.3338626697
231	0.3333885083
232	0.3329591794
233	0.3325065583
234	0.3320355723
235	0.3315789204
236	0.3311810558
237	0.3307244014
238	0.3302821796
239	0.3296410816
240	0.3291638412
241	0.3288379794
242	0.3283026989
243	0.3279928146
244	0.3276080123
245	0.3271535124
246	0.3267222502
247	0.3262362723
248	0.3257390341
